sequence_index,institutional_label,folio_id,child_oid,canvas_id,width_px,height_px,image_service_id,image_info_url,image_url,catalog_child_url,folio_status,notes
1,[Front cover],,1006074,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006074,2931,3865,https://collections.library.yale.edu/iiif/2/1006074,https://collections.library.yale.edu/iiif/2/1006074/info.json,https://collections.library.yale.edu/iiif/2/1006074/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006074,unresolved,Institutional label retained verbatim; folio mapping not inferred.
38,19v,,1006111,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006111,2849,3769,https://collections.library.yale.edu/iiif/2/1006111,https://collections.library.yale.edu/iiif/2/1006111/info.json,https://collections.library.yale.edu/iiif/2/1006111/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006111,unresolved,Institutional label retained verbatim; folio mapping not inferred.
39,20r,,1006112,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006112,2649,3743,https://collections.library.yale.edu/iiif/2/1006112,https://collections.library.yale.edu/iiif/2/1006112/info.json,https://collections.library.yale.edu/iiif/2/1006112/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006112,unresolved,Institutional label retained verbatim; folio mapping not inferred.
40,20v,,1006113,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006113,2849,3769,https://collections.library.yale.edu/iiif/2/1006113,https://collections.library.yale.edu/iiif/2/1006113/info.json,https://collections.library.yale.edu/iiif/2/1006113/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006113,unresolved,Institutional label retained verbatim; folio mapping not inferred.
41,21r,,1006114,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006114,2649,3743,https://collections.library.yale.edu/iiif/2/1006114,https://collections.library.yale.edu/iiif/2/1006114/info.json,https://collections.library.yale.edu/iiif/2/1006114/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006114,unresolved,Institutional label retained verbatim; folio mapping not inferred.
42,21v,,1006115,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006115,2849,3769,https://collections.library.yale.edu/iiif/2/1006115,https://collections.library.yale.edu/iiif/2/1006115/info.json,https://collections.library.yale.edu/iiif/2/1006115/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006115,unresolved,Institutional label retained verbatim; folio mapping not inferred.
43,22r,,1006116,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006116,2649,3743,https://collections.library.yale.edu/iiif/2/1006116,https://collections.library.yale.edu/iiif/2/1006116/info.json,https://collections.library.yale.edu/iiif/2/1006116/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006116,unresolved,Institutional label retained verbatim; folio mapping not inferred.
44,22v,,1006117,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006117,2849,3795,https://collections.library.yale.edu/iiif/2/1006117,https://collections.library.yale.edu/iiif/2/1006117/info.json,https://collections.library.yale.edu/iiif/2/1006117/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006117,unresolved,Institutional label retained verbatim; folio mapping not inferred.
45,23r,,1006118,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006118,2650,3705,https://collections.library.yale.edu/iiif/2/1006118,https://collections.library.yale.edu/iiif/2/1006118/info.json,https://collections.library.yale.edu/iiif/2/1006118/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006118,unresolved,Institutional label retained verbatim; folio mapping not inferred.
46,23v,,1006119,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006119,2849,3780,https://collections.library.yale.edu/iiif/2/1006119,https://collections.library.yale.edu/iiif/2/1006119/info.json,https://collections.library.yale.edu/iiif/2/1006119/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006119,unresolved,Institutional label retained verbatim; folio mapping not inferred.
47,24r,,1006120,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006120,2688,3719,https://collections.library.yale.edu/iiif/2/1006120,https://collections.library.yale.edu/iiif/2/1006120/info.json,https://collections.library.yale.edu/iiif/2/1006120/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006120,unresolved,Institutional label retained verbatim; folio mapping not inferred.
