child_oid,sequence_index,institutional_label,relation_index,side_id,folio_number,face,coverage,parse_status,rule_id
1006226,153,84r,1,84r,84,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006227,154,84v,1,84v,84,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006228,155,85r (part) (part of 85-86 foldout),1,85r,85,r,part,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006229,156,85r (part) 86v (part) (part of 85-86 foldout),1,85r,85,r,part,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006229,156,85r (part) 86v (part) (part of 85-86 foldout),2,86v,86,v,part,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006230,157,86v (part) (part of 85-86 foldout),1,86v,86,v,part,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006231,158,85v and 86r (foldout),1,85v,85,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006231,158,85v and 86r (foldout),2,86r,86,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006232,159,87r,1,87r,87,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1043429,160,87v,1,87v,87,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1037112,161,88r,1,88r,88,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006233,162,88v and 89r,1,88v,88,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006233,162,88v and 89r,2,89r,89,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006234,163,89v (part),1,89v,89,v,part,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006235,164,89v (part) and 90r,1,89v,89,v,part,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006235,164,89v (part) and 90r,2,90r,90,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006236,165,90r,1,90r,90,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006237,166,90v (part),1,90v,90,v,part,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006238,167,93r,1,93r,93,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006239,168,93v,1,93v,93,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006240,169,94r,1,94r,94,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006241,170,94v and 95r,1,94v,94,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006241,170,94v and 95r,2,95r,95,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006242,171,95v (part),1,95v,95,v,part,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006243,172,95v,1,95v,95,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006244,173,96r,1,96r,96,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006245,174,96v,1,96v,96,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006246,175,99r,1,99r,99,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006247,176,99v,1,99v,99,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006248,177,100r,1,100r,100,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006249,178,100v and 101r,1,100v,100,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006249,178,100v and 101r,2,101r,101,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006250,179,101v (part),1,101v,101,v,part,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006251,180,101v (part) and 102r,1,101v,101,v,part,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006251,180,101v (part) and 102r,2,102r,102,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006252,181,102v (part),1,102v,102,v,part,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006253,182,102v (part),1,102v,102,v,part,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006254,183,103r,1,103r,103,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006255,184,103v,1,103v,103,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006256,185,104r,1,104r,104,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006257,186,104v,1,104v,104,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006258,187,105r,1,105r,105,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006259,188,105v,1,105v,105,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006260,189,106r,1,106r,106,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006261,190,106v,1,106v,106,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006262,191,107r,1,107r,107,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006263,192,107v,1,107v,107,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006264,193,108r,1,108r,108,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006265,194,108v,1,108v,108,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006266,195,111r,1,111r,111,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006267,196,111v,1,111v,111,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006268,197,112r,1,112r,112,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006269,198,112v,1,112v,112,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006270,199,113r,1,113r,113,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006271,200,113v,1,113v,113,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006272,201,114r,1,114r,114,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006273,202,114v,1,114v,114,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006274,203,115r,1,115r,115,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006275,204,115v,1,115v,115,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006276,205,116r,1,116r,116,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006277,206,116v,1,116v,116,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
